user_id,segment,primary_intent,created_at,updated_at,preferred_districts,property_type,liked_amenities,min_bedrooms,budget_min,budget_max,age_group,age_group_conf,marital_status,marital_conf,children,children_conf,income_level,income_conf,persona
usr_1012,mid_range,rent,2025-12-01T08:49:27Z,2025-12-23T04:30:40Z,Phường Tân Định|Phường Tân Thuận|Phường Phú Thuận,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.58|park:0.53|near_hospital:0.68,2,4.7,7.6,,0.0,married,0.65,,0.0,medium_high,0.62,
usr_1013,luxury,rent,2025-12-07T01:44:15Z,2025-12-09T02:23:19Z,Phường Long Bình|Phường Đông Hòa|Phường Tăng Nhơn Phú,Nhà đất|Căn hộ,gym:1.0|near_metro:0.58,2,13.8,28.0,,0.0,,0.0,,0.0,,0.0,
usr_1014,luxury,buy_for_living,2025-12-09T03:30:33Z,2025-12-14T07:30:01Z,Xã Nhà Bè|Phường Bình Lợi Trung,Căn hộ|Nhà đất,near_school:1.0|kids_playground:0.68|park:0.6,2,15.0,22.9,,0.0,,0.0,,0.0,medium,0.87,
usr_1015,mid_range,investment,2025-12-03T04:57:18Z,2025-12-23T14:38:11Z,Phường Xuân Hòa|Phường Nhiêu Lộc|Phường Vũng Tàu,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.31|park:0.61|near_hospital:0.3,2,3.4,7.6,30-40,0.69,,0.0,,0.0,medium,0.67,
usr_1016,mid_range,buy_for_living,2025-12-12T18:19:03Z,2026-01-01T12:17:20Z,Xã Nhà Bè|Phường Dĩ An,Căn hộ,sports_court:1.0|elevator:0.33,2,4.1,5.7,,0.0,single,0.85,,0.0,medium_high,0.51,
usr_1017,affordable,buy_for_living,2025-12-23T18:39:45Z,2026-01-01T09:14:30Z,Phường Hiệp Bình|Phường Bến Thành,Nhà đất|Căn hộ,near_metro:1.0|sports_court:0.65,1,1.9,2.3,,0.0,single,0.8,0.0,0.66,,0.0,
usr_1018,affordable,buy_for_living,2025-12-01T09:43:57Z,2025-12-06T17:19:29Z,Phường Tân Định|Phường Long Phước,Nhà đất,sports_court:1.0|near_metro:0.65,2,2.1,2.2,50+,0.72,married,0.76,,0.0,,0.0,
usr_1019,affordable,buy_for_living,2025-12-11T20:52:41Z,2025-12-31T18:43:24Z,Phường Bình Trị Đông,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.32,2,1.6,2.2,20-30,0.57,married,0.76,2.0,0.64,,0.0,
usr_1020,mid_range,buy_for_living,2025-12-04T13:01:47Z,2026-01-03T00:27:17Z,Phường Long Bình,Nhà đất,near_bus:1.0|sports_court:0.61,2,4.6,8.0,20-30,0.75,,0.0,,0.0,,0.0,
usr_1021,affordable,buy_for_living,2025-12-03T13:55:47Z,2025-12-17T05:26:48Z,Phường An Hội Tây|Phường Cầu Kiệu,Nhà đất|Căn hộ,near_metro:1.0|elevator:0.46,2,1.4,2.6,,0.0,single,0.55,,0.0,,0.0,
usr_1022,affordable,rent,2025-12-15T21:09:19Z,2025-12-30T02:51:02Z,Phường Hòa Hưng|Xã Hiệp Phước,Nhà đất,sports_court:1.0|near_metro:0.33,2,1.4,2.7,,0.0,single,0.77,,0.0,,0.0,
usr_1023,affordable,rent,2025-12-17T09:40:29Z,2025-12-20T21:24:07Z,Phường Tân Sơn Hòa|Phường Tân Sơn,Nhà đất,near_school:1.0|kids_playground:0.35|park:0.63,3,2.0,2.5,40-50,0.62,married,0.84,,0.0,medium_high,0.54,
usr_1024,affordable,investment,2025-12-12T13:46:56Z,2026-01-01T03:10:38Z,Phường An Lạc,Nhà đất|Căn hộ,near_mall:1.0|near_market:0.69|security_24h:0.47|parking:0.36,1,1.2,2.1,,0.0,married,0.53,0.0,0.67,medium,0.83,
usr_1025,affordable,investment,2025-12-12T21:57:16Z,2026-01-02T15:21:04Z,Phường Hòa Hưng|Phường Thông Tây Hội|Xã Hiệp Phước,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.57|park:0.4,2,2.1,2.9,,0.0,married,0.55,2.0,0.63,,0.0,
usr_1026,affordable,buy_for_living,2025-12-14T10:57:39Z,2026-01-11T22:50:34Z,Phường Thủ Đức|Phường Diên Hồng|Phường Bình Trưng,Nhà đất,elevator:1.0|near_bus:0.4,1,1.5,2.6,30-40,0.91,,0.0,,0.0,,0.0,
usr_1027,affordable,rent,2025-12-16T01:29:31Z,2025-12-28T02:23:05Z,Phường Dĩ An,Nhà đất,near_metro:1.0|parking:0.44,1,2.0,2.6,30-40,0.65,,0.0,,0.0,,0.0,
usr_1028,mid_range,rent,2025-12-05T08:37:54Z,2025-12-13T18:41:40Z,Phường Tam Thắng|Phường Đức Nhuận,Nhà đất,near_school:1.0|kids_playground:0.63,2,5.2,7.1,,0.0,,0.0,,0.0,medium_high,0.53,
usr_1029,luxury,investment,2025-12-20T06:06:09Z,2025-12-31T16:29:21Z,Phường An Phú Đông|Phường Thạnh Mỹ Tây|Phường Khánh Hội,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.55,2,16.3,25.9,20-30,0.73,married,0.6,,0.0,,0.0,
usr_1030,mid_range,buy_for_living,2025-12-02T01:12:08Z,2025-12-24T23:02:20Z,Xã Tân Nhựt,Căn hộ|Nhà đất,pool:1.0|gym:0.64,2,3.9,7.8,40-50,0.65,,0.0,0.0,0.94,,0.0,
usr_1031,mid_range,buy_for_living,2025-12-25T08:18:12Z,2025-12-31T16:59:32Z,Phường An Khánh|Phường An Phú Đông,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.43,2,5.0,6.8,30-40,0.68,,0.0,,0.0,,0.0,
usr_1032,mid_range,buy_for_living,2025-12-23T14:15:33Z,2026-01-06T01:47:01Z,Phường Tân Thuận|Phường Phú Thuận,Căn hộ,near_bus:1.0|gym:0.54,1,4.1,6.8,,0.0,single,0.93,,0.0,medium_high,0.75,
usr_1033,mid_range,buy_for_living,2025-12-19T14:34:15Z,2025-12-28T00:55:24Z,Phường Bình Thới|Phường Diên Hồng,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.38|park:0.65,2,3.6,7.1,30-40,0.6,married,0.95,,0.0,,0.0,
usr_1034,luxury,buy_for_living,2025-12-19T02:04:16Z,2025-12-25T03:44:17Z,Phường An Khánh,Nhà đất,near_school:1.0|kids_playground:0.69|park:0.68|near_hospital:0.34,2,15.0,21.4,30-40,0.83,married,0.74,,0.0,,0.0,
usr_1035,mid_range,rent,2025-12-22T10:39:23Z,2025-12-30T00:51:27Z,Phường Bình Trị Đông,Nhà đất,near_school:1.0|kids_playground:0.47|park:0.54,3,3.6,6.3,,0.0,married,0.71,3.0,0.83,medium_high,0.84,
usr_1036,mid_range,buy_for_living,2025-12-23T22:40:31Z,2025-12-31T12:34:15Z,Phường Đông Hưng Thuận|Phường Cát Lái|Phường An Hội Tây,Căn hộ,near_school:1.0|kids_playground:0.31,2,3.7,7.5,20-30,0.69,,0.0,1.0,0.8,,0.0,
usr_1037,affordable,buy_for_living,2025-12-19T12:08:06Z,2026-01-17T21:13:01Z,Xã Hồ Tràm|Phường Bình Trị Đông,Nhà đất|Căn hộ,parking:1.0|near_metro:0.54,2,1.2,2.2,,0.0,single,0.55,0.0,0.92,,0.0,
usr_1038,affordable,rent,2025-12-13T22:49:55Z,2025-12-17T12:38:49Z,Phường Nhiêu Lộc|Phường Tăng Nhơn Phú,Căn hộ,near_school:1.0|kids_playground:0.36|park:0.45|near_hospital:0.57,2,1.7,2.5,30-40,0.78,,0.0,1.0,0.66,,0.0,
usr_1039,mid_range,rent,2025-12-04T04:52:20Z,2025-12-13T05:27:22Z,Phường Phú Thuận|Xã Nhà Bè,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.36|park:0.46,2,3.4,6.7,,0.0,married,0.79,,0.0,,0.0,
usr_1040,affordable,investment,2025-12-02T03:29:45Z,2025-12-22T20:52:06Z,Phường Khánh Hội,Nhà đất,near_school:1.0|kids_playground:0.62|park:0.62,2,1.8,2.5,,0.0,married,0.73,,0.0,medium_high,0.74,
usr_1041,mid_range,investment,2025-12-18T17:03:44Z,2025-12-29T15:04:27Z,Phường Cầu Kiệu,Nhà đất,near_school:1.0|kids_playground:0.49|park:0.57,2,4.5,6.6,,0.0,,0.0,,0.0,,0.0,
usr_1042,affordable,rent,2025-12-24T14:50:03Z,2026-01-07T04:50:11Z,Phường Bình Thạnh,Căn hộ,near_school:1.0|kids_playground:0.7,2,1.5,2.2,,0.0,married,0.64,2.0,0.79,,0.0,
usr_1043,luxury,rent,2025-12-14T07:10:41Z,2026-01-02T22:11:50Z,Phường Bình Trị Đông,Nhà đất|Căn hộ,gym:1.0|sports_court:0.5,1,17.3,25.1,,0.0,,0.0,,0.0,,0.0,
usr_1044,affordable,buy_for_living,2025-12-02T06:22:18Z,2025-12-14T01:52:56Z,Phường An Khánh,Nhà đất|Căn hộ,near_bus:1.0|elevator:0.33,2,1.5,2.3,,0.0,single,0.72,0.0,0.62,medium_high,0.79,
usr_1045,affordable,buy_for_living,2025-12-07T04:29:02Z,2026-01-04T15:46:39Z,Phường Phú Thọ Hòa|Phường Thông Tây Hội|Phường Tăng Nhơn Phú,Căn hộ,near_school:1.0|kids_playground:0.7|park:0.32|near_hospital:0.48,3,1.9,3.0,,0.0,married,0.79,,0.0,,0.0,
usr_1046,affordable,buy_for_living,2025-12-16T22:51:57Z,2025-12-25T07:42:49Z,Phường Bình Trị Đông|Phường Phú Thuận,Nhà đất,near_school:1.0|kids_playground:0.46|park:0.31|near_hospital:0.34,2,1.8,2.5,,0.0,married,0.55,,0.0,medium_high,0.83,
usr_1047,affordable,buy_for_living,2025-12-22T21:40:51Z,2025-12-30T18:12:15Z,Phường Phú Nhuận,Căn hộ,elevator:1.0|near_metro:0.69,1,1.4,2.5,50+,0.65,single,0.88,,0.0,medium_high,0.66,
usr_1048,affordable,buy_for_living,2025-12-10T08:12:02Z,2025-12-29T17:13:17Z,Phường Tân Hưng|Phường Bình Tân|Phường Vĩnh Hội,Căn hộ,near_school:1.0|kids_playground:0.61,2,1.7,2.1,,0.0,,0.0,2.0,0.82,,0.0,
usr_1049,affordable,investment,2025-12-12T18:17:01Z,2025-12-17T20:01:06Z,Phường Phú Thạnh|Phường An Hội Tây|Phường Bình Thạnh,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.35|park:0.38,2,1.5,2.2,,0.0,,0.0,1.0,0.8,,0.0,
usr_1050,affordable,investment,2025-12-13T18:35:50Z,2025-12-18T19:33:36Z,Phường Bình Trưng|Phường Bàn Cờ,Căn hộ|Nhà đất,near_school:1.0|kids_playground:0.4|park:0.58,3,1.3,3.0,20-30,0.75,married,0.91,,0.0,medium_high,0.79,
usr_1051,luxury,investment,2025-12-20T07:21:21Z,2025-12-24T23:48:49Z,Phường Hiệp Bình|Phường Bảy Hiền,Căn hộ,near_mall:1.0|near_market:0.67|security_24h:0.36|elevator:0.41,2,10.8,25.3,,0.0,,0.0,0.0,0.91,medium_high,0.53,
usr_1052,affordable,buy_for_living,2025-12-20T20:04:06Z,2025-12-30T09:24:21Z,Phường Phú Định|Phường An Hội Đông,Căn hộ,near_school:1.0|kids_playground:0.38,2,1.9,2.3,50+,0.53,,0.0,2.0,0.51,,0.0,
usr_1053,mid_range,buy_for_living,2025-12-03T21:27:35Z,2025-12-13T04:01:45Z,Phường Thông Tây Hội,Căn hộ,near_school:1.0|kids_playground:0.47|park:0.61|near_hospital:0.57,2,3.3,7.9,50+,0.75,,0.0,,0.0,,0.0,
usr_1054,mid_range,buy_for_living,2025-12-04T04:15:12Z,2025-12-28T06:08:11Z,Xã Bình Lợi|Xã Nhà Bè|Phường Tân Sơn,Nhà đất|Căn hộ,near_metro:1.0|gym:0.35,1,4.8,6.5,30-40,0.73,,0.0,0.0,0.53,medium,0.84,
usr_1055,mid_range,investment,2025-12-03T21:05:32Z,2025-12-29T08:54:23Z,Xã Hiệp Phước|Phường An Lạc|Phường Thông Tây Hội,Nhà đất,near_school:1.0|kids_playground:0.49,2,4.4,5.6,,0.0,married,0.74,,0.0,medium,0.58,
usr_1056,affordable,buy_for_living,2025-12-03T03:59:56Z,2025-12-24T10:02:04Z,Phường Phú Định|Phường Phú Thuận,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.56|park:0.41,2,1.4,2.4,,0.0,married,0.82,2.0,0.57,,0.0,
usr_1057,mid_range,buy_for_living,2025-12-05T19:38:40Z,2025-12-11T00:34:14Z,Phường An Khánh,Nhà đất,near_school:1.0|kids_playground:0.67|park:0.59,2,5.4,6.3,,0.0,,0.0,,0.0,,0.0,
usr_1058,affordable,investment,2025-12-01T16:49:38Z,2025-12-10T19:41:32Z,Phường Hiệp Bình,Nhà đất,near_mall:1.0|near_market:0.3,1,1.9,2.9,30-40,0.76,,0.0,,0.0,,0.0,
usr_1059,mid_range,buy_for_living,2025-12-14T07:09:16Z,2025-12-15T09:57:31Z,Phường Phú Nhuận,Căn hộ|Nhà đất,sports_court:1.0|parking:0.39,1,3.0,6.9,,0.0,married,0.62,0.0,0.55,,0.0,
usr_1060,affordable,investment,2025-12-09T18:31:36Z,2025-12-20T14:28:22Z,Phường Bến Thành|Phường An Lạc,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.67|park:0.39|near_hospital:0.49,2,1.4,2.7,,0.0,married,0.93,2.0,0.53,medium_high,0.56,
usr_1061,mid_range,buy_for_living,2025-12-14T17:33:07Z,2025-12-26T21:56:55Z,Phường Bình Trưng|Phường Phú Nhuận,Nhà đất,near_metro:1.0|pool:0.48,2,5.3,5.7,,0.0,,0.0,,0.0,medium_high,0.9,
usr_1062,mid_range,rent,2025-12-15T02:53:38Z,2025-12-21T15:33:02Z,Phường Dĩ An|Phường Long Trường|Phường Chợ Lớn,Nhà đất,sports_court:1.0|near_metro:0.67,1,3.9,6.2,,0.0,,0.0,,0.0,,0.0,
usr_1063,mid_range,buy_for_living,2025-12-06T02:17:24Z,2025-12-18T06:40:13Z,Phường Đức Nhuận|Phường An Lạc,Nhà đất|Căn hộ,elevator:1.0|parking:0.3,2,5.0,6.2,40-50,0.76,single,0.81,0.0,0.63,,0.0,
usr_1064,affordable,rent,2025-12-11T19:19:09Z,2025-12-20T11:35:22Z,Phường Chợ Lớn,Nhà đất|Căn hộ,near_metro:1.0|gym:0.4,1,1.2,2.9,20-30,0.7,single,0.66,0.0,0.8,medium,0.61,
usr_1065,mid_range,buy_for_living,2025-12-19T04:52:24Z,2026-01-12T21:05:40Z,Phường Tân Sơn Hòa|Phường Thới An,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.45|park:0.64|near_hospital:0.51,2,3.3,6.7,,0.0,married,0.67,,0.0,medium,0.89,
usr_1066,affordable,buy_for_living,2025-12-20T23:24:47Z,2025-12-24T16:12:45Z,Phường Vũng Tàu|Phường Long Trường|Phường Bến Thành,Nhà đất,near_metro:1.0|sports_court:0.49,1,1.9,2.1,,0.0,single,0.83,0.0,0.62,,0.0,
usr_1067,affordable,buy_for_living,2025-12-12T23:07:37Z,2026-01-03T04:12:55Z,Phường Cầu Ông Lãnh|Xã Nhà Bè,Căn hộ,near_school:1.0|kids_playground:0.4|park:0.67,2,1.2,2.1,40-50,0.92,,0.0,,0.0,,0.0,
usr_1068,mid_range,rent,2025-12-23T01:36:11Z,2026-01-04T17:28:36Z,Phường Bình Tân|Phường Gò Vấp|Phường An Khánh,Nhà đất,near_bus:1.0|parking:0.57,2,3.5,7.2,,0.0,single,0.72,0.0,0.8,,0.0,
usr_1069,affordable,rent,2025-12-06T23:07:07Z,2025-12-13T03:15:46Z,Xã Hiệp Phước|Phường Tân Sơn|Phường Vườn Lài,Căn hộ|Nhà đất,sports_court:1.0|near_bus:0.42,1,1.2,2.7,,0.0,single,0.93,,0.0,,0.0,
usr_1070,affordable,buy_for_living,2025-12-05T16:06:21Z,2025-12-18T08:43:14Z,Phường Tân Sơn Nhì|Phường Bình Hưng Hòa|Phường Hiệp Bình,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.41|park:0.58,3,1.7,2.4,,0.0,,0.0,,0.0,,0.0,
usr_1071,mid_range,buy_for_living,2025-12-01T06:02:33Z,2025-12-17T20:20:45Z,Phường Cầu Ông Lãnh|Phường Diên Hồng,Căn hộ,pool:1.0|sports_court:0.7,2,3.8,5.6,,0.0,single,0.66,0.0,0.75,,0.0,
usr_1072,affordable,rent,2025-12-14T14:29:04Z,2026-01-08T07:56:12Z,Phường Thạnh Mỹ Tây|Phường Phú Thọ|Phường Bình Trị Đông,Nhà đất,pool:1.0|elevator:0.55,1,1.4,2.3,,0.0,,0.0,,0.0,,0.0,
usr_1073,affordable,buy_for_living,2025-12-20T00:00:01Z,2025-12-30T16:03:18Z,Phường Tam Bình|Xã Nhà Bè|Phường Cầu Kiệu,Nhà đất,gym:1.0|pool:0.32,2,1.2,2.3,,0.0,single,0.72,,0.0,,0.0,
usr_1074,mid_range,rent,2025-12-10T01:36:30Z,2026-01-01T04:42:55Z,Phường Phú Thuận|Phường Bình Lợi Trung,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.56|park:0.32,2,3.2,7.4,,0.0,married,0.86,,0.0,,0.0,
usr_1075,affordable,rent,2025-12-03T20:26:16Z,2025-12-08T16:40:40Z,Phường Linh Xuân,Nhà đất,near_school:1.0|kids_playground:0.63,2,2.1,2.7,40-50,0.67,,0.0,,0.0,medium,0.71,
usr_1076,affordable,buy_for_living,2025-12-13T21:01:08Z,2026-01-02T12:15:29Z,Phường Bình Thạnh|Phường Tân Bình,Nhà đất,parking:1.0|near_metro:0.49,2,1.7,2.3,,0.0,,0.0,,0.0,medium,0.76,
usr_1077,mid_range,investment,2025-12-21T05:25:40Z,2026-01-05T01:12:22Z,Phường An Phú Đông|Phường Tân Thuận,Nhà đất|Căn hộ,near_mall:1.0|near_market:0.68|security_24h:0.7,1,4.1,6.3,40-50,0.87,single,0.83,0.0,0.88,,0.0,
usr_1078,mid_range,buy_for_living,2025-12-15T07:12:12Z,2025-12-26T21:22:58Z,Phường Bến Thành|Phường An Hội Tây,Nhà đất|Căn hộ,parking:1.0|sports_court:0.39,2,3.1,6.2,,0.0,married,0.88,0.0,0.53,medium_high,0.64,
usr_1079,mid_range,buy_for_living,2025-12-21T00:11:42Z,2025-12-30T07:05:51Z,Xã Hiệp Phước|Phường An Phú Đông|Phường Chợ Quán,Nhà đất,near_school:1.0|kids_playground:0.5|park:0.33|near_hospital:0.42,2,3.9,6.0,40-50,0.92,,0.0,,0.0,,0.0,
usr_1080,luxury,buy_for_living,2025-12-25T23:41:10Z,2026-01-23T00:56:37Z,Phường Vũng Tàu|Phường Phú Thạnh,Nhà đất|Căn hộ,sports_court:1.0|near_bus:0.47,2,18.8,24.2,50+,0.63,married,0.64,0.0,0.62,,0.0,
usr_1081,mid_range,buy_for_living,2025-12-03T05:14:59Z,2025-12-22T13:01:02Z,Phường Thông Tây Hội|Phường Phú Định,Nhà đất,near_school:1.0|kids_playground:0.65|park:0.69|near_hospital:0.57,2,4.8,7.7,,0.0,,0.0,,0.0,,0.0,
usr_1082,mid_range,buy_for_living,2025-12-10T12:06:56Z,2025-12-31T23:09:57Z,Xã Nhà Bè|Phường Chánh Hưng|Phường Bình Lợi Trung,Nhà đất,near_school:1.0|kids_playground:0.61,2,4.5,6.9,,0.0,married,0.52,,0.0,medium_high,0.55,
usr_1083,affordable,investment,2025-12-14T11:28:20Z,2026-01-08T12:17:57Z,Phường Bình Trưng|Phường An Khánh,Nhà đất,near_school:1.0|kids_playground:0.47,2,1.4,2.2,50+,0.71,married,0.95,,0.0,,0.0,
usr_1084,mid_range,buy_for_living,2025-12-19T08:49:52Z,2025-12-31T04:50:59Z,Phường Thông Tây Hội|Phường Bình Trị Đông|Phường Bình Lợi Trung,Nhà đất,near_school:1.0|kids_playground:0.5,2,3.3,5.8,20-30,0.81,,0.0,1.0,0.56,,0.0,
usr_1085,luxury,buy_for_living,2025-12-17T07:43:32Z,2026-01-12T02:12:00Z,Phường Tân Sơn Hòa,Nhà đất,gym:1.0|pool:0.39,1,11.1,29.1,30-40,0.58,,0.0,,0.0,,0.0,
usr_1086,affordable,buy_for_living,2025-12-08T08:27:17Z,2025-12-19T10:00:44Z,Phường Bình Trị Đông|Phường Thới An,Nhà đất,near_school:1.0|kids_playground:0.47,2,1.3,3.0,50+,0.5,married,0.51,,0.0,high,0.76,
usr_1087,mid_range,buy_for_living,2025-12-03T13:37:55Z,2025-12-09T23:16:04Z,Phường Thủ Đức|Phường Vũng Tàu|Phường Bình Tân,Nhà đất|Căn hộ,near_metro:1.0|gym:0.56,1,5.0,7.9,20-30,0.61,single,0.54,,0.0,,0.0,
usr_1088,affordable,buy_for_living,2025-12-24T14:11:58Z,2026-01-08T17:31:28Z,Phường Long Bình|Phường Bình Thạnh,Nhà đất,near_school:1.0|kids_playground:0.65|park:0.34|near_hospital:0.53,2,1.4,2.7,30-40,0.56,,0.0,,0.0,,0.0,
usr_1089,affordable,buy_for_living,2025-12-24T00:19:08Z,2026-01-02T19:03:50Z,Phường An Khánh,Nhà đất,near_school:1.0|kids_playground:0.64,2,1.4,2.9,,0.0,,0.0,,0.0,,0.0,
usr_1090,mid_range,buy_for_living,2025-12-01T04:49:20Z,2025-12-05T12:53:24Z,Phường Phú Lợi|Phường Bảy Hiền|Phường Thông Tây Hội,Nhà đất,near_metro:1.0|pool:0.31,2,3.6,5.6,30-40,0.61,single,0.81,,0.0,,0.0,
usr_1091,mid_range,rent,2025-12-02T00:45:21Z,2025-12-31T11:47:02Z,Phường An Hội Tây,Nhà đất,near_school:1.0|kids_playground:0.52|park:0.34,3,4.1,7.8,,0.0,married,0.8,,0.0,,0.0,
usr_1092,luxury,rent,2025-12-06T00:44:21Z,2025-12-25T12:43:55Z,Phường Phú Nhuận,Nhà đất,near_bus:1.0|pool:0.55,1,10.3,24.7,50+,0.59,married,0.85,0.0,0.95,,0.0,
usr_1093,affordable,buy_for_living,2025-12-14T19:08:10Z,2026-01-07T19:22:49Z,Phường Tam Thắng|Phường Long Bình,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.53,2,1.3,2.4,,0.0,married,0.81,,0.0,,0.0,
usr_1094,affordable,buy_for_living,2025-12-07T13:52:22Z,2026-01-02T20:53:54Z,Phường Hạnh Thông|Phường Tân Sơn Hòa|Phường Đông Hòa,Nhà đất|Căn hộ,pool:1.0|near_bus:0.59,1,1.2,2.4,,0.0,single,0.51,,0.0,high,0.9,
usr_1095,mid_range,investment,2025-12-22T22:46:05Z,2026-01-02T22:44:41Z,Phường Cầu Ông Lãnh|Phường Phú Thọ Hòa|Phường Hòa Hưng,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.47|park:0.52|near_hospital:0.38,2,4.3,7.9,,0.0,,0.0,,0.0,,0.0,
usr_1096,mid_range,buy_for_living,2025-12-24T23:33:45Z,2025-12-31T03:10:17Z,Phường Bình Tân|Phường Phú Thạnh|Phường Thủ Đức,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.48|park:0.6,2,5.0,7.9,,0.0,,0.0,,0.0,,0.0,
usr_1097,affordable,buy_for_living,2025-12-09T22:08:04Z,2026-01-02T21:16:18Z,Phường Hiệp Bình,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.61|park:0.58|near_hospital:0.53,3,2.1,2.1,,0.0,,0.0,,0.0,medium_high,0.87,
usr_1098,affordable,buy_for_living,2025-12-12T17:59:00Z,2025-12-17T18:42:28Z,Phường Bình Hòa,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.52|park:0.37,3,1.8,2.3,,0.0,married,0.84,4.0,0.84,,0.0,
usr_1099,affordable,rent,2025-12-15T13:54:05Z,2025-12-25T19:41:14Z,Phường Thới Hòa,Căn hộ,near_school:1.0|kids_playground:0.52|park:0.53,3,2.1,2.7,40-50,0.88,,0.0,,0.0,high,0.62,
usr_1100,affordable,rent,2025-12-01T04:42:35Z,2025-12-05T18:54:27Z,Phường Tân Sơn Nhì,Căn hộ,near_school:1.0|kids_playground:0.31|park:0.68|near_hospital:0.53,2,1.7,2.3,30-40,0.75,single,0.79,1.0,0.65,medium_high,0.72,
